Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,1,10.0,1
Query 2,0,0.0,0
Query 3,0,0.0,0
Query 4,3,30.0,-28.5
Query 5,1,10.0,1
Query 6,1,10.0,0
Query 7,1,10.0,0
Query 8,0,0.0,0
Query 9,1,10.0,0
Query 10,2,20.0,-36.0
Query 11,0,0.0,0
Query 12,0,0.0,0
Query 13,2,20.0,-4.0
Query 14,2,20.0,-16.0
Query 15,3,30.0,-9.75
Query 16,2,20.0,-4.0
Query 17,1,10.0,0
Query 18,0,0.0,0
Query 19,2,20.0,-17.0
Query 20,2,20.0,-15.0
Query 21,0,0.0,0
Query 22,0,0.0,0
Query 23,3,30.0,1.0
Query 24,1,10.0,0
Query 25,1,10.0,0
Query 26,3,30.0,-5.5
Query 27,2,20.0,0.0
Query 28,1,10.0,0
Query 29,1,10.0,0
Query 30,1,10.0,0
Query 31,1,10.0,0
Query 32,3,30.0,-2.25
Query 33,1,10.0,1
Query 34,2,20.0,-1.0
Query 35,0,0.0,0
Query 36,1,10.0,0
Query 37,2,20.0,1.0
Query 38,3,30.0,0.75
Query 39,2,20.0,-3.0
Query 40,2,20.0,-9.0
Query 41,0,0.0,0
Query 42,1,10.0,0
Query 43,0,0.0,0
Query 44,3,30.0,-1.0
Query 45,3,30.0,-19.75
Query 46,0,0.0,0
Query 47,1,10.0,0
Query 48,0,0.0,0
Query 49,3,30.0,-3.25
Query 50,3,30.0,-3.25
Query 51,0,0.0,0
Query 52,2,20.0,-3.0
Query 53,1,10.0,0
Query 54,0,0.0,0
Query 55,3,30.0,-8.5
Query 56,0,0.0,0
Query 57,2,20.0,0.0
Query 58,0,0.0,0
Query 59,1,10.0,0
Query 60,1,10.0,0
Query 61,3,30.0,-1.75
Query 62,1,10.0,0
Query 63,1,10.0,0
Query 64,0,0.0,0
Query 65,0,0.0,0
Query 66,0,0.0,0
Query 67,1,10.0,0
Query 68,3,30.0,-6.5
Query 69,0,0.0,0
Query 70,0,0.0,0
Query 71,3,30.0,0.75
Query 72,1,10.0,0
Query 73,1,10.0,0
Query 74,4,40.0,-0.8
Query 75,1,10.0,0
Query 76,1,10.0,0
Query 77,1,10.0,0
Query 78,2,20.0,-36.0
Query 79,2,20.0,-24.0
Query 80,2,20.0,-9.0
Query 81,0,0.0,0
Query 82,0,0.0,0
Query 83,2,20.0,0.0
Query 84,0,0.0,0
Query 85,0,0.0,0
Query 86,3,30.0,0.25
Query 87,0,0.0,0
Query 88,1,10.0,1
Query 89,2,20.0,1.0
Query 90,2,20.0,-4.0
Query 91,0,0.0,0
Query 92,1,10.0,1
Query 93,0,0.0,0
Query 94,3,30.0,-9.25
Query 95,0,0.0,0
Query 96,0,0.0,0
Query 97,0,0.0,0
Query 98,0,0.0,0
Query 99,3,30.0,0.25
Query 100,3,30.0,-5.5
Averages,1.25,12.5,-2.7655000000000003
